timestamp,text
00:06,Hey Vsauce!
00:11,Michael here.
00:15,And here.
00:18,Michael here!
00:19,hey vsauce!
00:22,what is here?
00:24,…. what is there?
00:26,what is there?
00:28,What REALLY exists?
00:30,Do waves exist or are there just things that are wavy?
00:35,When does a piece of food I’ve eaten stop being food and become me?
00:41,Do chairs exist?
00:46,Ontology is the philosophy of existence.
00:49,And chairs are what philosophers call ORDINARY OBJECTS.
00:58,"Ordinary objects are the plain old common sense things we deal with every day: spoons,"
01:04,"buckets, rocks, stuff like that."
01:07,Their existence is as obvious as possible
01:11,"but the more we try to sus out where they are, the more sus they become."
01:19,"First of all, sure, this could all be a dream."
01:24,Maybe we’ve all been hallucinating chairs all these years.
01:27,Or this could part of the simulated reality pumped into our brains while our bodies are
01:33,harvested for energy.
01:36,But underneath that skepticism there’s a deeper ONTOLOGICAL question that we need to
01:41,answer first.
01:43,"Regardless of whether this spoon is made of real atoms or simulated atoms, is it really"
01:50,possible to be “made of” something?
01:55,Take a look at these two things.
01:57,"As we all know, two minus one is … TWO?!"
02:02,There ARE two things here:
02:04,An origami crane AND a piece of paper.
02:07,"I’m kidding, of course, there’s really just one: the crane and the piece of paper"
02:13,are the same.
02:15,But watch this.
02:25,Where’d the crane go?
02:32,"If the paper and the crane were truly identical, they would share everything in common."
02:37,"But clearly they don’t: the paper can survive being unfolded, the crane cannot."
02:43,"Also, I made the crane, but I didn’t make the paper."
02:47,And the paper was around before the crane.
02:50,"For two things that are the same, they sure are different."
02:55,This relationship is called CONSTITUTION: paper constitutes the crane.
03:00,"It’s a one-to-one relationship, but there’s another kind of “being made of” going"
03:06,"on here, too."
03:08,"This paper is made not of ONE other thing, but of sextillions of things: fundamental"
03:14,"subatomic particles: electrons and quarks, or strings, or physical and virtual fields."
03:21,This many-to-one relationship is called COMPOSITION.
03:26,Philosophers call whatever it is that matter is ultimately composed of SIMPLES: a simple
03:31,"is a thing that, unlike a piece of paper, has no parts."
03:36,No substructure.
03:37,Not even a top or bottom.
03:38,"It could be the case that there are no simples, that there’s just a never-ending chain of"
03:42,smaller and smaller substructure.
03:45,Philosophers call such a reality a GUNKY universe.
03:50,If structure never ends in the other direction and everything turns out to be part of something
03:53,"bigger with no final complete composite, that’s what’s known as a JUNKY universe."
04:00,Point is: believing ordinary objects exist and are made up of smaller things is quite
04:07,common.
04:08,It’s called ontological reductionism.
04:09,It’s the position that wholes are NOTHING MORE than their parts.
04:14,But our cranes and our paper challenge that notion. it seems like being MADE OF some things IS different than
04:22,just BEING those things.
04:24,Let’’s agree on what it means to exist.
04:28,Let’s say that for something to exist is simply for there to be more than zero of it.
04:36,Pegasus exists if we mean “are there any winged horses in works of fiction and mythology?”
04:42,"And pegasus does not exist if we mean, “are there any physical, flesh-and-blood winged"
04:48,horses that evolved on Earth through natural selection.”
04:53,"okay, so if we can agree on that, then of course chairs exist!"
04:56,There’s this one right here.
04:58,I can see it and feel it and taste it.
05:03,yea. It’s dry and .. a little bit salty.
05:07,Dry and salty are what we call PROPERTIES.
05:12,Properties tell us what things are LIKE.
05:15,"For example, this slice of cheese is FLOPPY."
05:19,"By noticing and sharing properties, we can let each other know what to expect from things."
05:25,And we all more or less agree on what things there are.
05:29,"We give names to stuff and if they catch on, we put them in dictionaries with the word"
05:33,“noun” next to them.
05:36,But are all of these nouns an inventory of the universe … or an inventory of things
05:42,we MADE?
05:43,Let me put it this way: do islands exist?
05:47,"Well, it’s in the dictionary and a quick look around confirms that there are more than"
05:51,"zero islands, so yes."
05:54,Islands exist.
05:56,But what about incars?
06:00,An incar is a car that is IN a garage.
06:04,"As a car leaves a garage, an incar diminishes at the threshold until it collapses into nonexistence."
06:11,"Later, an extremely similar incar may emerge at the same threshold when the car returns."
06:18,Are there any cars in garages right now?
06:21,"If so, then incars exist."
06:25,"You might be thinking, “that’s not a thing."
06:29,you just made that up.
06:31,And it’s silly: “being in a garage” is just a property that a car can have.
06:37,Stop trying to make incars a thing.”
06:39,"Ok, first of all, I didn’t make it up, Eli Hirsch did."
06:43,"And second of all, if you think incars aren’t things, wait till you hear about islands."
06:50,An incar might just be a relation between a car and a garage but an island is just a
06:55,relation between land and some water.
06:58,"Now, “island” might be a more useful concept than “incar,” but does that make islands"
07:04,OBJECTIVELY more real than incars?
07:08,And what about trogs?
07:10,A trog is an object whose parts are a tree and whatever dog is nearest.
07:16,Here’s a picture of one.
07:18,Do you see the trog? this is its tree part and this is its dog part.
07:23,"You might be thinking, come on, how can THAT be a thing?"
07:26,The tree and the dog aren’t even connected!
07:29,well so what?
07:30,These two pieces of fabric aren’t connected and yet they’re a thing called a bikini.
07:35,"Now sure, if we cut down this tree and burn it for warmth, we wouldn’t feel the need"
07:40,to apologize to what’s left of the trog for destroying its tree part.
07:46,But maybe we should?
07:48,What if some extraterrestrials showed up and said they thought dogs and trees composed
07:54,trogs — would they be wrong?
07:57,Could we convince the otherwise?
08:01,Ontological realists believe that we could.
08:03,"That there really is a mind-independent answer to the question, “what is there?”"
08:08,People like Theodore Sider believe that the universe has “joints” and we can cut up reality
08:14,"up into objective, real things by finding them."
08:18,Ontological anti-realists disagree.
08:21,Their position is that what we think there is is just one way to cut up reality.
08:25,"It’s a good one for us and our needs, but it’s not objectively more true than any"
08:30,other.
08:31,So who’s right?
08:32,Hmm… well if these blocks compose a tower … what do they compose now?
08:43,Just because we don’t have a name for .. this.. doesn’t necessary mean that I haven’t
08:47,accidentally built something. Does it?
08:50,When DO two or more things compose something else?
08:56,Peter Van Inwagen calls this the special composition question.
08:59,In MATERIAL BEINGS he considers possible answers: maybe things compose something only when they’re
09:06,in contact.
09:07,"That’s a good thought, but it doesn’t explain how a BIKINI can be a thing."
09:11,Or why two books are still just two books when one is stacked on top of the other.
09:17,"you know,"
09:18,Maybe a certain degree of FIXATION is required.
09:22,Or a ‘melding’ … if a surgeon sewed us together and the skin healed with no seam
09:28,"and we shared the same blood supply … you know, even then it would seem wrong to say"
09:33,that we’d become some new kind of animal.
09:35,There’d still just me and you.
09:39,"But like, stuck together."
09:41,The philosophy of parts and wholes is called mereology and
09:46,Mereological Universalism is the belief that there’s an answer to the special composition question
09:51,"and the answer is this: any assortment of stuff, no matter how strange or scattered across time and space"
09:59,composes a thing.
10:01,"some pages compose these books but I don't just have two books here. Oh no, there's also a third thing"
10:06,"let's call it a ""took"" because it's parts are Two Books."
10:10,"There is also something composed of my left ear, the northern third of every brown trout in"
10:17,"England, and the Eiffel tower."
10:19,Just because it has no name and no one’s ever talked about it before just shows a lack
10:23,of intrest on our parts.
10:26,"To a universalist, eliminating some composites but not others is just too arbitrary."
10:31,We may as well accept them all.
10:35,"Eliminativism is any belief that accepts some composites, but eliminates others."
10:41,"Peter Van Inwagen, for example, believes that there are no ordinary objects, no chairs or"
10:47,shirts or shoes.
10:50,Right here there are just some simples — atoms or whatever — arragned show-wise.
10:55,There isn;t something else here called a shoe.
10:58,"But he thinks that because people believe they themselves exist, and he can’t see"
11:02,how something could believe it existed without existing in the first place to even think
11:06,"that, there must be people."
11:09,"He goes further, though, to argue that ALL living thigns exist."
11:14,"While admiting he doesn’t have any “knock-down” agruments in their favor, he mentions that"
11:18,because simples that are part of a living organism maintain the organism —
11:23,"— while shedding some members and gaining others, all while remaining individuated from"
11:28,"other organisms, unlike, say, waves of water at the moment of collision, clearly, simples"
11:35,in the act of a life must compose something.
11:39,That position is ORAGANICISM.
11:41,"It’s been called the belief that people exist, but that none of them wear clothes."
11:48,Mereological Nihilism is less generous.
11:51,It’s the belief that there aren’t any trogs or incars OR dogs or trees.
11:58,Because nothing ever composes.
12:00,The nihilist doesn’t believe that there is NOTHING here.
12:03,"There are lots of simples, but that’s it."
12:07,"That might sound puzzling: how can a bunch of fundamental particles, arranged into atoms"
12:12,and molecules that are arranged like this NOT be a chair?
12:17,That’s JUST IS what a chair is!
12:20,Good question.
12:21,Let’s call that deflationism: the belief that this is all silly and that all of these
